#Accession	Length	Protein_name	Protein_name_alternative	Gene_name	Organism_scientific	Organism_common	Function
P02469	1786	Laminin subunit beta-1	Laminin B1 chain / Laminin-1 subunit beta / Laminin-10 subunit beta / Laminin-12 subunit beta / Laminin-2 subunit beta / Laminin-6 subunit beta / Laminin-8 subunit beta	Lamb1	Mus musculus	Mouse	Binding to cells via a high affinity receptor, laminin is thought to mediate the attachment, migration and organization of cells into tissues during embryonic development by interacting with other extracellular matrix components. Involved in the organization of the laminar architecture of the cerebral cortex (By similarity). It is probably required for the integrity of the basement membrane/glia limitans that serves as an anchor point for the endfeet of radial glial cells and as a physical barrier to migrating neurons (By similarity). Radial glial cells play a central role in cerebral cortical development, where they act both as the proliferative unit of the cerebral cortex and a scaffold for neurons migrating toward the pial surface (By similarity).
P02679-2	453	Fibrinogen gamma chain	?	FGG	Homo sapiens	Human	Together with fibrinogen alpha (FGA) and fibrinogen beta (FGB), polymerizes to form an insoluble fibrin matrix. Has a major function in hemostasis as one of the primary components of blood clots. In addition, functions during the early stages of wound repair to stabilize the lesion and guide cell migration during re-epithelialization. Was originally thought to be essential for platelet aggregation, based on in vitro studies using anticoagulated blood. However, subsequent studies have shown that it is not absolutely required for thrombus formation in vivo. Enhances expression of SELP in activated platelets via an ITGB3-dependent pathway. Maternal fibrinogen is essential for successful pregnancy. Fibrin deposition is also associated with infection, where it protects against IFNG-mediated hemorrhage. May also facilitate the antibacterial immune response via both innate and T-cell mediated pathways.
P02751	2477	Fibronectin	Cold-insoluble globulin (CIG)	FN1	Homo sapiens	Human	Fibronectins bind cell surfaces and various compounds including collagen, fibrin, heparin, DNA, and actin (PubMed:3024962, PubMed:3900070, PubMed:3593230, PubMed:7989369). Fibronectins are involved in cell adhesion, cell motility, opsonization, wound healing, and maintenance of cell shape (PubMed:3024962, PubMed:3900070, PubMed:3593230, PubMed:7989369). Involved in osteoblast compaction through the fibronectin fibrillogenesis cell-mediated matrix assembly process, essential for osteoblast mineralization (By similarity). Participates in the regulation of type I collagen deposition by osteoblasts (By similarity). Acts as a ligand for the LILRB4 receptor, inhibiting FCGR1A/CD64-mediated monocyte activation (PubMed:34089617). Anastellin: Binds fibronectin and induces fibril formation. This fibronectin polymer, named superfibronectin, exhibits enhanced adhesive properties. Both anastellin and superfibronectin inhibit tumor growth, angiogenesis and metastasis. Anastellin activates p38 MAPK and inhibits lysophospholipid signaling.
P03308	2333	Genome polyprotein	?	?	Foot-and-mouth disease virus (isolate Bovine/United Kingdom/A12Valle119/1932 serotype A)	FMDV	Leader protease: Autocatalytically cleaves itself from the polyprotein at the L/VP0 junction. Cleaves also the host translation initiation factors EIF4G1 and EIF4G3, in order to shutoff the capped cellular mRNA transcription. Plays a role in counteracting host innate antiviral response using diverse mechanisms. Possesses a deubiquitinase activity acting on both 'Lys'-48 and 'Lys'-63-linked polyubiquitin chains. In turn, inhibits the ubiquitination and subsequent activation of key signaling molecules of type I IFN response such as host DDX58, TBK1, TRAF3 and TRAF6. Inhibits host NF-kappa-B activity by inducing a decrease in RELA mRNA levels. Cleaves a peptide bond in the C-terminus of host ISG15, resulting in the damaging of this mofidier that can no longer be attached to target proteins. Cleaves also host G3BP1 and G3BP2 in order to inhibit cytoplasmic stress granules assembly (PubMed:30404792). Capsid protein VP4: Lies on the inner surface of the capsid shell. After binding to the host receptor, the capsid undergoes conformational changes. Capsid protein VP4 is released, capsid protein VP1 N-terminus is externalized, and together, they shape a pore in the host membrane through which the viral genome is translocated into the host cell cytoplasm. After genome has been released, the channel shrinks. Capsid protein VP2: Forms an icosahedral capsid of pseudo T=3 symmetry with capsid proteins VP1 and VP3. The capsid is composed of 60 copies of each capsid protein organized in the form of twelve pentamers and encloses the viral positive strand RNA genome. Capsid protein VP1: Forms an icosahedral capsid of pseudo T=3 symmetry with capsid proteins VP2 and VP3. The capsid is composed of 60 copies of each capsid protein organized in the form of twelve pentamers and encloses the viral positive strand RNA genome. Mediates cell entry by attachment to an integrin receptor, usually host ITGAV/ITGB6. In addition, targets host MAVS to suppress type I IFN pathway. Capsid protein VP3: Forms an icosahedral capsid of pseudo T=3 symmetry with capsid proteins VP0 and VP3. The capsid is composed of 60 copies of each capsid protein organized in the form of twelve pentamers and encloses the viral positive strand RNA genome. Protein 2A: Mediates self-processing of the polyprotein by a translational effect termed 'ribosome skipping'. Mechanistically, 2A-mediated cleavage occurs between the C-terminal glycine and the proline of the downstream protein 2B. In the case of foot-and-mouth disease virus, the 2A oligopeptide is post-translationally 'trimmed' from the C-terminus of the upstream protein 1D by 3C proteinase. Protein 2B: Plays an essential role in the virus replication cycle by acting as a viroporin. Creates a pore in the host reticulum endoplasmic and as a consequence releases Ca2+ in the cytoplasm of infected cell. In turn, high levels of cytoplasmic calcium may trigger membrane trafficking and transport of viral ER-associated proteins to viroplasms, sites of viral genome replication. Protein 2C: Associates with and induces structural rearrangements of intracellular membranes. Triggers host autophagy by interacting with host BECN1 and thereby promotes viral replication. Participates in viral replication and interacts with host DHX9. Displays RNA-binding, nucleotide binding and NTPase activities. May play a role in virion morphogenesis and viral RNA encapsidation by interacting with the capsid protein VP3. Protein 3A: Plays important roles in virus replication, virulence and host range. Protein 3B-1: Covalently linked to the 5'-end of both the positive-strand and negative-strand genomic RNAs. Acts as a genome-linked replication primer. Protein 3B-2: Covalently linked to the 5'-end of both the positive-strand and negative-strand genomic RNAs. Acts as a genome-linked replication primer. Protein 3B-3: Covalently linked to the 5'-end of both the positive-strand and negative-strand genomic RNAs. Acts as a genome-linked replication primer. Protease 3C: Cysteine protease that generates mature viral proteins from the precursor polyprotein. In addition to its proteolytic activity, binds to viral RNA and thus influences viral genome replication. RNA and substrate bind cooperatively to the protease. RNA-directed RNA polymerase 3D-POL replicates genomic and antigenomic RNA by recognizing replications specific signals. Covalently attaches UMP to a tyrosine of VPg, which is used to prime RNA synthesis. The positive stranded RNA genome is first replicated at virus induced membranous vesicles, creating a dsRNA genomic replication form. This dsRNA is then used as template to synthesize positive stranded RNA genomes. ss(+)RNA genomes are either translated, replicated or encapsidated.
P04004	478	Vitronectin	S-protein / Serum-spreading factor / V75	VTN	Homo sapiens	Human	Vitronectin is a cell adhesion and spreading factor found in serum and tissues. Vitronectin interact with glycosaminoglycans and proteoglycans. Is recognized by certain members of the integrin family and serves as a cell-to-substrate adhesion molecule. Inhibitor of the membrane-damaging effect of the terminal cytolytic complement pathway. Somatomedin-B is a growth hormone-dependent serum factor with protease-inhibiting activity.
P04070	461	Vitamin K-dependent protein C	Anticoagulant protein C / Autoprothrombin IIA / Blood coagulation factor XIV	PROC	Homo sapiens	Human	Protein C is a vitamin K-dependent serine protease that regulates blood coagulation by inactivating factors Va and VIIIa in the presence of calcium ions and phospholipids (PubMed:25618265). Exerts a protective effect on the endothelial cell barrier function (PubMed:25651845).
P04258	1049	Collagen alpha-1(III) chain	?	COL3A1	Bos taurus	Bovine	Collagen type III occurs in most soft connective tissues along with type I collagen. Involved in regulation of cortical development. Is the major ligand of ADGRG1 in the developing brain and binding to ADGRG1 inhibits neuronal migration and activates the RhoA pathway by coupling ADGRG1 to GNA13 and possibly GNA12 (By similarity).
P04275	2813	von Willebrand factor	?	VWF	Homo sapiens	Human	Important in the maintenance of hemostasis, it promotes adhesion of platelets to the sites of vascular injury by forming a molecular bridge between sub-endothelial collagen matrix and platelet-surface receptor complex GPIb-IX-V. Also acts as a chaperone for coagulation factor VIII, delivering it to the site of injury, stabilizing its heterodimeric structure and protecting it from premature clearance from plasma.
P05019	195	Insulin-like growth factor I	Mechano growth factor (MGF) / Somatomedin-C	IGF1	Homo sapiens	Human	The insulin-like growth factors, isolated from plasma, are structurally and functionally related to insulin but have a much higher growth-promoting activity. May be a physiological regulator of [1-14C]-2-deoxy-D-glucose (2DG) transport and glycogen synthesis in osteoblasts. Stimulates glucose transport in bone-derived osteoblastic (PyMS) cells and is effective at much lower concentrations than insulin, not only regarding glycogen and DNA synthesis but also with regard to enhancing glucose uptake. May play a role in synapse maturation (PubMed:21076856, PubMed:24132240). Ca(2+)-dependent exocytosis of IGF1 is required for sensory perception of smell in the olfactory bulb (By similarity). Acts as a ligand for IGF1R. Binds to the alpha subunit of IGF1R, leading to the activation of the intrinsic tyrosine kinase activity which autophosphorylates tyrosine residues in the beta subunit thus initiatiating a cascade of down-stream signaling events leading to activation of the PI3K-AKT/PKB and the Ras-MAPK pathways. Binds to integrins ITGAV:ITGB3 and ITGA6:ITGB4. Its binding to integrins and subsequent ternary complex formation with integrins and IGFR1 are essential for IGF1 signaling. Induces the phosphorylation and activation of IGFR1, MAPK3/ERK1, MAPK1/ERK2 and AKT1 (PubMed:19578119, PubMed:22351760, PubMed:23696648, PubMed:23243309).
P05230	155	Fibroblast growth factor 1	Acidic fibroblast growth factor (aFGF) / Endothelial cell growth factor (ECGF) / Heparin-binding growth factor 1 (HBGF-1)	FGF1	Homo sapiens	Human	Plays an important role in the regulation of cell survival, cell division, angiogenesis, cell differentiation and cell migration. Functions as potent mitogen in vitro. Acts as a ligand for FGFR1 and integrins. Binds to FGFR1 in the presence of heparin leading to FGFR1 dimerization and activation via sequential autophosphorylation on tyrosine residues which act as docking sites for interacting proteins, leading to the activation of several signaling cascades. Binds to integrin ITGAV:ITGB3. Its binding to integrin, subsequent ternary complex formation with integrin and FGFR1, and the recruitment of PTPN11 to the complex are essential for FGF1 signaling. Induces the phosphorylation and activation of FGFR1, FRS2, MAPK3/ERK1, MAPK1/ERK2 and AKT1 (PubMed:18441324, PubMed:20422052). Can induce angiogenesis (PubMed:23469107).
P05362	532	Intercellular adhesion molecule 1	Major group rhinovirus receptor	ICAM1	Homo sapiens	Human	ICAM proteins are ligands for the leukocyte adhesion protein LFA-1 (integrin alpha-L/beta-2). During leukocyte trans-endothelial migration, ICAM1 engagement promotes the assembly of endothelial apical cups through ARHGEF26/SGEF and RHOG activation. (Microbial infection) Acts as a receptor for major receptor group rhinovirus A-B capsid proteins. (Microbial infection) Acts as a receptor for Coxsackievirus A21 capsid proteins. (Microbial infection) Upon Kaposi's sarcoma-associated herpesvirus/HHV-8 infection, is degraded by viral E3 ubiquitin ligase MIR2, presumably to prevent lysis of infected cells by cytotoxic T-lymphocytes and NK cell.
P06804	235	Tumor necrosis factor	Cachectin / TNF-alpha / Tumor necrosis factor ligand superfamily member 2 (TNF-a)	Tnf	Mus musculus	Mouse	Cytokine that binds to TNFRSF1A/TNFR1 and TNFRSF1B/TNFBR. It is mainly secreted by macrophages and can induce cell death of certain tumor cell lines. It is potent pyrogen causing fever by direct action or by stimulation of interleukin-1 secretion and is implicated in the induction of cachexia, Under certain conditions it can stimulate cell proliferation and induce cell differentiation (By similarity). Induces insulin resistance in adipocytes via inhibition of insulin-induced IRS1 tyrosine phosphorylation and insulin-induced glucose uptake. Induces GKAP42 protein degradation in adipocytes which is partially responsible for TNF-induced insulin resistance (PubMed:25586176). Plays a role in angiogenesis by inducing VEGF production synergistically with IL1B and IL6 (By similarity). The TNF intracellular domain (ICD) form induces IL12 production in dendritic cells.
P07942	1786	Laminin subunit beta-1	Laminin B1 chain / Laminin-1 subunit beta / Laminin-10 subunit beta / Laminin-12 subunit beta / Laminin-2 subunit beta / Laminin-6 subunit beta / Laminin-8 subunit beta	LAMB1	Homo sapiens	Human	Binding to cells via a high affinity receptor, laminin is thought to mediate the attachment, migration and organization of cells into tissues during embryonic development by interacting with other extracellular matrix components. Involved in the organization of the laminar architecture of cerebral cortex. It is probably required for the integrity of the basement membrane/glia limitans that serves as an anchor point for the endfeet of radial glial cells and as a physical barrier to migrating neurons. Radial glial cells play a central role in cerebral cortical development, where they act both as the proliferative unit of the cerebral cortex and a scaffold for neurons migrating toward the pial surface.
P07996	1170	Thrombospondin-1	Glycoprotein G	THBS1	Homo sapiens	Human	Adhesive glycoprotein that mediates cell-to-cell and cell-to-matrix interactions. Binds heparin. May play a role in dentinogenesis and/or maintenance of dentin and dental pulp (By similarity). Ligand for CD36 mediating antiangiogenic properties. Plays a role in ER stress response, via its interaction with the activating transcription factor 6 alpha (ATF6) which produces adaptive ER stress response factors (By similarity).
P08721	317	Osteopontin	Bone sialoprotein 1 / Secreted phosphoprotein 1 (SPP-1)	Spp1	Rattus norvegicus	Rat	Major non-collagenous bone protein that binds tightly to hydroxyapatite. Appears to form an integral part of the mineralized matrix. Probably important to cell-matrix interaction. Acts as a cytokine involved in enhancing production of interferon-gamma and interleukin-12 and reducing production of interleukin-10 and is essential in the pathway that leads to type I immunity.
P08833	259	Insulin-like growth factor-binding protein 1	Placental protein 12 (PP12)	IGFBP1	Homo sapiens	Human	IGF-binding proteins prolong the half-life of the IGFs and have been shown to either inhibit or stimulate the growth promoting effects of the IGFs on cell culture. They alter the interaction of IGFs with their cell surface receptors. Promotes cell migration.
P0C6B6	484	Zinc metalloproteinase homolog-disintegrin albolatin	?	?	Trimeresurus albolabris	White-lipped pit viper	The function of this complete protein has not been studied, but it may be similar to the function of the disintegrin domain. A recombinant protein of this domain (409-484) inhibits collagen-induced human platelet aggregation, without having effect on ADP-induced aggregation. It may act either by blocking the binding of fibrinogen to the platelet receptor GPIIb/GPIIIa (ITGA2B/ITGB3) or by blocking the binding of collagen to the integrin alpha-2/beta-1 complex (ITGA2/ITGB1).
P0C6E2	41	Disintegrin viperistatin	?	?	Daboia palaestinae	Palestine viper	Potent and highly selective inhibitor of alpha-1/beta-1 (ITGA1/ITGB1) integrin binding to collagen I and IV. Is about 25-fold more potent than obtustatin inhibiting the binding of this integrin to collagen IV.
P0C6R5	52	Disintegrin multisquamatin	?	?	Echis multisquamatus	Central Asian sand viper	Inhibits ADP-induced human, canine and rabbit platelet aggregation by binding with high affinity to alpha-IIb/beta-3 (ITGA2B/ITGB3).
P0C6S4	49	Disintegrin eristostatin	?	?	Eristicophis macmahoni	Leaf-nosed viper	Is a potent inhibitor of ADP-induced platelet aggregation. Acts by binding to alpha-IIb/beta-3 (ITGA2B/ITGB3) receptor on the platelet surface. Binds with the same high affinity to resting and activated platelets. Also binds the alpha-4/beta-1 (ITGA4/ITGB1) integrin. Is a potent inhibitor of human and murine melanoma metastases in mouse model systems, also due to the inhibition of binding between the alpha-4/beta-1 integrin and the vascular cell adhesion protein VCAM1. Reacts neither with the integrin alpha-V/beta-3 (ITGAV/ITGB3) vitronectin receptor nor with the integrin alpha-5/beta-1 (ITGA5/ITGB1) fibronectin receptor. Has no effect on cell proliferation or angiogenesis. Specifically inhibits cell migration on fibronectin, but not that on collagen IV or laminin. May involve fibronectin-binding integrins that mediate cell migration.
